datetime,timestamp,open,high,low,close,volume
2025-02-07 02:30:00,1738895400000,97346.4,97480.0,97290.0,97419.9,839.769
2025-02-07 02:45:00,1738896300000,97419.9,97586.0,97333.5,97534.2,785.461
2025-02-07 03:00:00,1738897200000,97534.2,97727.7,97411.4,97521.5,880.339
2025-02-07 03:15:00,1738898100000,97521.6,97639.8,97355.0,97384.1,545.011
2025-02-07 03:30:00,1738899000000,97384.0,97384.0,97200.0,97254.0,619.471
2025-02-07 03:45:00,1738899900000,97254.1,97421.4,97254.1,97410.2,369.211
2025-02-07 04:00:00,1738900800000,97410.2,97663.3,97340.0,97622.4,602.822
2025-02-07 04:15:00,1738901700000,97622.4,97714.2,97521.8,97585.9,653.299
2025-02-07 04:30:00,1738902600000,97585.9,97835.0,97432.0,97506.9,1869.579
2025-02-07 04:45:00,1738903500000,97506.9,97570.3,97383.0,97383.0,428.436
2025-02-07 05:00:00,1738904400000,97383.1,97500.0,97261.6,97281.7,637.216
2025-02-07 05:15:00,1738905300000,97281.8,97350.5,97155.0,97174.1,967.717
2025-02-07 05:30:00,1738906200000,97174.1,97365.4,97099.6,97327.8,817.408
2025-02-07 05:45:00,1738907100000,97327.8,97327.8,97191.4,97305.9,275.782
2025-02-07 06:00:00,1738908000000,97305.9,97327.6,97114.4,97243.9,491.887
2025-02-07 06:15:00,1738908900000,97244.0,97313.5,96655.5,96779.9,2311.451
2025-02-07 06:30:00,1738909800000,96780.0,96948.9,96536.5,96720.6,2261.417
2025-02-07 06:45:00,1738910700000,96720.7,96851.9,96558.1,96714.2,1713.167
2025-02-07 07:00:00,1738911600000,96714.2,97035.3,96658.3,96874.1,1117.618
2025-02-07 07:15:00,1738912500000,96874.1,97182.5,96874.0,96912.0,973.747
2025-02-07 07:30:00,1738913400000,96912.0,96986.5,96650.8,96774.0,1639.661
2025-02-07 07:45:00,1738914300000,96774.0,96836.9,96600.0,96705.1,985.229
2025-02-07 08:00:00,1738915200000,96705.0,96926.1,96566.3,96748.0,1128.451
2025-02-07 08:15:00,1738916100000,96747.9,96897.6,96700.0,96822.6,511.56
2025-02-07 08:30:00,1738917000000,96822.6,97085.0,96805.0,97075.5,987.233
2025-02-07 08:45:00,1738917900000,97075.5,97233.0,96930.0,96980.0,1481.742
2025-02-07 09:00:00,1738918800000,96979.9,97219.6,96979.9,97178.7,864.916
2025-02-07 09:15:00,1738919700000,97178.7,97349.9,97161.9,97233.4,891.013
2025-02-07 09:30:00,1738920600000,97233.5,97333.0,97114.9,97269.9,779.556
2025-02-07 09:45:00,1738921500000,97269.8,97347.0,97209.8,97239.8,640.271
2025-02-07 10:00:00,1738922400000,97239.8,97342.0,97200.0,97228.1,657.28
2025-02-07 10:15:00,1738923300000,97228.2,97450.0,97206.5,97382.8,582.361
2025-02-07 10:30:00,1738924200000,97382.7,97441.8,97287.5,97287.5,524.428
2025-02-07 10:45:00,1738925100000,97287.5,97320.5,97198.8,97220.0,875.882
2025-02-07 11:00:00,1738926000000,97219.9,97628.1,97219.9,97579.4,1321.764
2025-02-07 11:15:00,1738926900000,97579.4,97669.4,97540.0,97590.0,1146.225
2025-02-07 11:30:00,1738927800000,97590.1,97651.7,97512.4,97576.0,815.884
2025-02-07 11:45:00,1738928700000,97576.0,97722.3,97574.9,97703.8,1460.955
2025-02-07 12:00:00,1738929600000,97703.8,97868.4,97562.1,97575.5,2292.326
2025-02-07 12:15:00,1738930500000,97575.6,97681.7,97448.8,97649.0,1249.702
2025-02-07 12:30:00,1738931400000,97649.0,97929.5,97640.0,97923.3,1228.348
2025-02-07 12:45:00,1738932300000,97923.2,97984.0,97812.2,97917.3,1173.584
2025-02-07 13:00:00,1738933200000,97918.6,97964.9,97588.0,97596.0,1654.723
2025-02-07 13:15:00,1738934100000,97596.1,97711.4,97396.8,97653.2,1849.408
2025-02-07 13:30:00,1738935000000,97653.2,98500.0,97150.0,98288.3,12823.385
2025-02-07 13:45:00,1738935900000,98288.3,98815.6,98126.2,98787.9,7114.64
2025-02-07 14:00:00,1738936800000,98787.4,99584.7,98639.0,99537.2,8240.462
2025-02-07 14:15:00,1738937700000,99537.1,99970.0,99514.7,99629.2,6807.305
2025-02-07 14:30:00,1738938600000,99629.2,99899.0,99128.2,99886.5,7060.35
2025-02-07 14:45:00,1738939500000,99885.0,100112.4,99541.5,99672.7,6163.886
2025-02-07 15:00:00,1738940400000,99672.6,99673.3,98217.2,98380.0,13930.238
2025-02-07 15:15:00,1738941300000,98380.1,98555.0,97551.0,98451.1,11629.592
2025-02-07 15:30:00,1738942200000,98451.0,98800.0,98176.4,98603.0,5559.504
2025-02-07 15:45:00,1738943100000,98603.1,99193.9,97956.4,98257.1,9750.022
2025-02-07 16:00:00,1738944000000,98257.1,98295.2,97611.0,97846.4,5988.35
2025-02-07 16:15:00,1738944900000,97846.0,98535.5,97831.1,98015.1,3308.863
2025-02-07 16:30:00,1738945800000,98015.2,98297.7,97855.1,97927.0,3255.785
2025-02-07 16:45:00,1738946700000,97927.0,98024.5,97620.4,97789.1,4200.644
2025-02-07 17:00:00,1738947600000,97789.2,98130.8,97569.4,97955.9,2652.348
2025-02-07 17:15:00,1738948500000,97955.9,97989.4,97100.0,97384.6,5141.175
2025-02-07 17:30:00,1738949400000,97384.5,97627.2,97233.7,97527.1,2131.788
2025-02-07 17:45:00,1738950300000,97527.1,97715.1,97350.0,97378.0,1310.382
2025-02-07 18:00:00,1738951200000,97378.0,97843.2,97248.2,97843.2,1997.454
2025-02-07 18:15:00,1738952100000,97843.2,97954.3,97695.5,97847.5,1191.662
2025-02-07 18:30:00,1738953000000,97847.5,98328.3,97800.7,98030.8,1729.917
2025-02-07 18:45:00,1738953900000,98030.7,98172.9,97601.1,97700.0,2203.142
2025-02-07 19:00:00,1738954800000,97699.9,97788.1,97200.0,97359.2,3754.578
2025-02-07 19:15:00,1738955700000,97359.2,97493.0,97169.9,97412.4,2080.409
2025-02-07 19:30:00,1738956600000,97412.5,97480.8,96817.0,96971.9,2810.51
2025-02-07 19:45:00,1738957500000,96971.8,97162.4,96832.0,96840.1,1313.838
2025-02-07 20:00:00,1738958400000,96840.0,96885.6,96188.0,96285.3,4883.916
2025-02-07 20:15:00,1738959300000,96285.4,96520.7,96111.7,96133.9,2219.463
2025-02-07 20:30:00,1738960200000,96133.9,96203.5,95750.0,95960.4,4669.111
2025-02-07 20:45:00,1738961100000,95960.4,96067.4,95555.0,95717.5,3039.601
2025-02-07 21:00:00,1738962000000,95717.6,96006.1,95625.6,95958.8,2258.767
2025-02-07 21:15:00,1738962900000,95958.8,96107.2,95716.6,95768.2,1771.48
2025-02-07 21:30:00,1738963800000,95768.3,96019.3,95655.1,95815.1,1423.827
2025-02-07 21:45:00,1738964700000,95815.1,95975.0,95640.2,95966.1,1152.88
2025-02-07 22:00:00,1738965600000,95966.2,95966.2,95611.1,95733.4,1564.883
2025-02-07 22:15:00,1738966500000,95733.3,95843.1,95642.0,95817.3,827.57
2025-02-07 22:30:00,1738967400000,95817.3,95853.6,95568.0,95800.0,1061.375
2025-02-07 22:45:00,1738968300000,95800.1,96058.0,95740.7,96014.3,737.68
2025-02-07 23:00:00,1738969200000,96014.2,96148.8,95811.5,96127.7,1330.607
2025-02-07 23:15:00,1738970100000,96127.7,96198.7,95988.0,96144.1,1284.922
2025-02-07 23:30:00,1738971000000,96144.2,96400.0,96061.4,96380.9,1615.938
2025-02-07 23:45:00,1738971900000,96381.0,96478.5,96269.1,96454.5,905.062
2025-02-08 00:00:00,1738972800000,96454.5,96483.9,96304.8,96389.0,994.235
2025-02-08 00:15:00,1738973700000,96389.1,96812.9,96288.0,96655.8,2003.617
2025-02-08 00:30:00,1738974600000,96655.8,96785.5,96534.3,96718.2,842.236
2025-02-08 00:45:00,1738975500000,96718.2,96735.6,96558.6,96613.1,630.445
2025-02-08 01:00:00,1738976400000,96613.1,96706.2,96492.5,96514.3,737.655
2025-02-08 01:15:00,1738977300000,96514.3,96684.0,96319.1,96603.8,986.857
2025-02-08 01:30:00,1738978200000,96603.8,96733.3,96590.9,96590.9,525.831
2025-02-08 01:45:00,1738979100000,96591.0,96680.0,96438.0,96479.2,453.159
2025-02-08 02:00:00,1738980000000,96479.2,96538.9,96360.0,96411.0,648.911
2025-02-08 02:15:00,1738980900000,96410.9,96707.9,96387.4,96676.6,656.552
2025-02-08 02:30:00,1738981800000,96676.6,96683.8,96471.4,96557.0,390.316
2025-02-08 02:45:00,1738982700000,96557.0,96785.7,96460.0,96715.4,687.553
2025-02-08 03:00:00,1738983600000,96715.4,96850.0,96703.1,96820.0,900.76
2025-02-08 03:15:00,1738984500000,96820.1,96825.2,96497.3,96544.5,1365.53
2025-02-08 03:30:00,1738985400000,96544.5,96659.8,96504.1,96659.8,372.111
2025-02-08 03:45:00,1738986300000,96659.7,96687.6,96580.0,96660.0,230.688
2025-02-08 04:00:00,1738987200000,96660.0,96660.1,96502.6,96578.5,486.526
2025-02-08 04:15:00,1738988100000,96578.6,96578.6,96470.4,96470.4,376.481
2025-02-08 04:30:00,1738989000000,96470.4,96470.5,96168.8,96259.3,1510.886
2025-02-08 04:45:00,1738989900000,96259.3,96374.1,96217.2,96266.8,570.922
2025-02-08 05:00:00,1738990800000,96266.7,96300.0,96061.2,96175.3,1251.213
2025-02-08 05:15:00,1738991700000,96175.2,96275.6,96070.4,96149.3,768.118
2025-02-08 05:30:00,1738992600000,96149.3,96240.5,96008.7,96236.3,624.693
2025-02-08 05:45:00,1738993500000,96236.3,96323.0,96137.0,96165.0,517.984
2025-02-08 06:00:00,1738994400000,96164.9,96165.0,96050.0,96051.2,554.377
2025-02-08 06:15:00,1738995300000,96051.1,96183.8,96006.1,96092.6,705.945
2025-02-08 06:30:00,1738996200000,96092.5,96125.7,96032.1,96100.0,343.573
2025-02-08 06:45:00,1738997100000,96100.0,96120.5,95835.8,95951.4,1222.308
2025-02-08 07:00:00,1738998000000,95951.3,96043.7,95847.9,95895.2,721.234
2025-02-08 07:15:00,1738998900000,95895.3,95987.5,95714.4,95945.3,1510.252
2025-02-08 07:30:00,1738999800000,95945.4,96228.7,95945.3,96105.2,1102.014
2025-02-08 07:45:00,1739000700000,96105.2,96249.9,96105.2,96153.4,888.638
2025-02-08 08:00:00,1739001600000,96153.4,96248.3,96076.9,96095.9,698.597
2025-02-08 08:15:00,1739002500000,96096.0,96150.0,96020.0,96148.1,475.716
2025-02-08 08:30:00,1739003400000,96148.1,96183.0,95899.9,95980.3,996.795
2025-02-08 08:45:00,1739004300000,95980.3,96018.4,95834.0,95844.1,853.475
2025-02-08 09:00:00,1739005200000,95844.1,96005.0,95844.1,95964.1,484.143
2025-02-08 09:15:00,1739006100000,95964.0,96157.4,95960.0,96157.3,704.115
2025-02-08 09:30:00,1739007000000,96157.4,96157.4,96028.5,96086.0,338.283
2025-02-08 09:45:00,1739007900000,96086.0,96124.3,95982.7,96123.2,410.813
2025-02-08 10:00:00,1739008800000,96123.3,96191.0,96077.0,96159.7,463.421
2025-02-08 10:15:00,1739009700000,96159.7,96236.6,96123.1,96177.4,524.407
2025-02-08 10:30:00,1739010600000,96177.3,96245.3,96037.0,96127.5,688.163
